Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics,Principal teacher 1,Principal teacher 2,Facilitator 1,Organization,Venue,Dates of overall event,Length of recording,Type of recording,Teacher's note on suitability,Online,Live audience,Audience (experienced or general),Technical notes on audio quality
2019-03-23,https://dl.airtable.com/.attachments/38b292775224272ae3b06746dc15d63c/dfdd12e1/2019_0323RootsintotheGroundofSoul.pdf,Roots into the Ground of Soul,1,https://dl.airtable.com/.attachments/4f839014b271cbb432e0da9046c4dba2/8642345b/2019_0323ThisRetreat.pdf,This Retreat,https://dharmaseed.org/teacher/210/talk/58652/,imaginal/soulmaking,"guided temenos / dyad exercise,soulmaking and dukkha,aging/sickness/death,soulmaking: temenos (sacred space) / dyad and group practice,blessing,judgment/inner critic",Rob Burbea,Catherine McGee,,Gaia House,"Gaia House, Devon",March 23-30 2019,3711,Talk,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2019-03-24,,Roots into the Ground of Soul,2,https://dl.airtable.com/.attachments/637671fe501d0e0627216eccd1397015/6a254e82/2019_0324TheImaginal-EnergyBodyQandA.pdf,The Imaginal-Energy Body (Q & A),https://dharmaseed.org/teacher/210/talk/58615/,imaginal/soulmaking,"energy body,definitions: energy body,images arising through body / energy body,Dharma talk listening tips: caution with definitions / delineations,energy body: evolution of the term, from samadhi to imaginal,twoness / balance of attention practices or instructions,samadhi,aging/sickness/death,images: using the energy body to navigate,energy: tolerating more energy, noticing limits on range and intensity,art and soul,fullness of intention (not primarily in service of self),jhana,jhana and soulmaking",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,4663,Question and answer session,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,Audio briefly cuts out in a few places
2019-03-24,,Roots into the Ground of Soul,3,https://dl.airtable.com/.attachments/416423e8e050d20e3b7a2e99ed470669/604e094d/2019_0324ARiteofAngels.pdf,A Rite of Angels,https://dharmaseed.org/teacher/210/talk/58614/,imaginal/soulmaking,"guided reflections,guided temenos / dyad exercise,ethics/engagement,blessing,guided practice or instructions on voice / movement,soulmaking: movement, mudras, and voice",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,3868,Guided practice,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,Audio briefly cuts out in a few places
2019-03-25,,Roots into the Ground of Soul,4,https://dl.airtable.com/.attachments/0206c952c61da57e53df0629b93027f1/44f6ed4d/2019_0325DukkhaandEmotionsinSoulmakingPractice.pdf,Dukkha and Emotions in Soulmaking Practice,https://dharmaseed.org/teacher/210/talk/58610/,imaginal/soulmaking,"soulmaking and dukkha,emotions,emotions / mind states: anger,dangers or shadow sides in any dharma path,soulmaking: prerequisites and foundations,images: not reducing to one meaning or causal explanation,emotions: increase energy in attention, decrease in emotion,cosmopoesis: how it develops and spreads,fullness of intention (not primarily in service of self),ethics/engagement,soulmaking: conflicting demands of disparate angels, antinomies",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,3566,Talk,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,Audio briefly cuts out in a few places
2019-03-26,,Roots into the Ground of Soul,5,https://dl.airtable.com/.attachments/eb51adad1b458332d7c9531fc2d510df/00ac75fd/2019_0326OnPractisingwithImagesQandA.pdf,On Practising with Images (Q & A),https://dharmaseed.org/teacher/210/talk/58613/,imaginal/soulmaking,"soulmaking: self becoming imaginal, re-enchanting self,art and soul,soulmaking: aspects of the imaginal,images: iconic/poetic versus narrative images,soulmaking: form of image fading, essence remaining,images: love in and from images,emotions / mind states: shame or unworthiness,soulmaking: care in working with imaginal figures of actual people,soulmaking: doubts/concerns in or about imaginal practice,soulmaking: dark gods (the weird, dark, pathological, sexual, etc.),soulmaking: vertical spectrum / imaginal concertina",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,4233,Question and answer session,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,Audio briefly cuts out in a few places
2019-03-27,,Roots into the Ground of Soul,6,https://dl.airtable.com/.attachments/89d3f5c860dcac2a2fdf07211679701c/1d44c279/2019_0327ErosandDesireQandA.pdf,Eros and Desire (Q & A),https://dharmaseed.org/teacher/210/talk/58611/,imaginal/soulmaking,"definitions: twoness,twoness, differentiation, retaining particularities,soulmaking: oneness in the erotic-imaginal,twoness / balance of attention practices or instructions,soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: concerns about vanity/narcissism in seeing divinity,soulmaking: importance of and reasons for practice,soulmaking: dark gods (the weird, dark, pathological, sexual, etc.),cosmopoesis,cosmopoesis: how it develops and spreads,desire/eros,Kabbalah,soulmaking and emptiness,soulmaking and emptiness: erotic relationship with emptiness,eros and craving, distinguishing and working with,soulmaking and developmental psychology,soulmaking: allowing it to spread in all directions,soulmaking: re-enchanting the body,images: archetypal,Jung",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,4133,Question and answer session,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,Audio briefly cuts out in a few places
2019-03-29,,Roots into the Ground of Soul,7,https://dl.airtable.com/.attachments/5efa27238f8919f997d5ba194695b5c4/0c23d1e7/2019_0329ImageEthicsandAwakeningQandA.pdf,"Image, Ethics, and Awakening (Q & A)",https://dharmaseed.org/teacher/210/talk/58612/,imaginal/soulmaking,"ethics/engagement,awakening,soulmaking: movement, mudras, and voice,soulmaking: care in working with imaginal figures of actual people,sexuality/romantic relationships,soulmaking: sexual erotic-imaginal,sexual energy, working with,critique: rapid seeing of impermanence,working with difficult emotions / sensations / energies,dark nights, kundalini explosions, and rapid impermanence,impermanence (anicca),images: examples of navigating an image,images: what is an image?,antinomies in values/ethics,emotions: deep samadhi reducing tenderness of heart",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,5566,Question and answer session,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2019-03-30,,Roots into the Ground of Soul,8,https://dl.airtable.com/.attachments/9b96c7561bc976e93a19298ae60c1ba1/5a26c2ab/2019_0330ClosingCommentsFromRob-SoulmakingandSangha.pdf,Closing Comments From Rob - Soulmaking and Sangha,https://dharmaseed.org/teacher/210/talk/58609/,imaginal/soulmaking,"supporting practice in daily life, off retreat,soulmaking: vulnerability of sharing images,soulmaking: challenges of teaching or explaining",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 23-30 2019,1133,Talk,"PLEASE NOTE: The talks, instructions, and guided meditations in this set are from a retreat, led by Catherine McGee and Rob Burbea, for practitioners already familiar with Soulmaking Dharma. The teachers strongly recommend that you also have an understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice, before listening. Without this background in practice it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2019-05-25,https://dl.airtable.com/.attachments/d0dead313d227ddb51a4fd91207340c2/e7ec73be/2019_0525FourCirclesFourParablesofStoneandLight.pdf,"Four Circles, Four Parables of Stone and Light",1,https://dl.airtable.com/.attachments/c36e41ee59e283dc158f12f508938fcf/51c82d51/2019_0525TheWayofImage.pdf,The Way of Image,https://dharmaseed.org/teacher/210/talk/58787/,imaginal/soulmaking,"soulmaking: prerequisites and foundations,definitions: imaginal and sensing with soul,Dharma talk listening tips: caution with definitions / delineations,definitions: soul,soulmaking: threeness,soulmaking: different imaginal frameworks (Burbea, Hillman, etc.),concepts/logos,images: fixated image vs mindful observation vs imaginal,Middle Way of the imaginal,definitions: fantasy,images: what is an image?,soulmaking: aspects of the imaginal,images: examples of navigating an image,soulmaking: conflicting demands of disparate angels, antinomies,cosmopoesis,cosmopoesis: how it develops and spreads,definitions: refraction,aging/sickness/death,soulmaking: self becoming imaginal, re-enchanting self,soulmaking: moving towards the fully imaginal",Rob Burbea,,,None,None,May 25 - June 17 2019,5589,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-26,,"Four Circles, Four Parables of Stone and Light",2,https://dl.airtable.com/.attachments/481d979dce3cedb09465ff4f0711ddc8/0de960ee/2019_0526TheCrucible.pdf,The Crucible,https://dharmaseed.org/teacher/210/talk/58783/,imaginal/soulmaking,"images: how to get images,images: examples of navigating an image,energy body,emotions,images: in relation to difficult emotions,soulmaking and dukkha,cosmopoesis,cosmopoesis: kinds sustained from or with emotional well-being,soulmaking, vulnerability in,soulmaking: doubts/concerns in or about imaginal practice,twoness / balance of attention practices or instructions,soulmaking: retaining autonomy of self and other in imaginal practice,soulmaking, duty in,sensitivity,soulmaking: sexual erotic-imaginal,images: memories becoming imaginal,definitions: infinite echoing and mirroring,concepts/logos,concepts/logos: possible meditations on ideas,images: let the body lead, not demanding visual images,soulmaking: pacing,art and soul,soulmaking: movement, mudras, and voice,images: how to get images - the place of stretches and challenges",Rob Burbea,,,None,None,May 25 - June 17 2019,7368,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-27,,"Four Circles, Four Parables of Stone and Light",3,https://dl.airtable.com/.attachments/e52b6cdb0870b0ad79f6cfaff7ce793b/440a2444/2019_0527OpeningtheSenseoftheEnergyBody.pdf,Opening the Sense of the Energy Body,https://dharmaseed.org/teacher/210/talk/58773/,imaginal/soulmaking,"energy body,definitions: energy body,energy body, list of aspects involved in sensing with,Dharma talk listening tips: listening structurally,twoness / balance of attention practices or instructions,energy: tolerating more energy, noticing limits on range and intensity,generosity,samadhi,devotion,soulmaking: devotional erotic-imaginal,sexuality/romantic relationships,images arising through body / energy body,soulmaking: re-enchanting the body,soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: sexual erotic-imaginal,soulmaking: vertical spectrum / imaginal concertina",Rob Burbea,,,None,None,May 25 - June 17 2019,4645,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-28,,"Four Circles, Four Parables of Stone and Light",4,https://dl.airtable.com/.attachments/37241eb74d363bbffa1b3d928c05ba03/b2ba2ce5/2019_0528HeatandtheMaterial.pdf,Heat and the Material,https://dharmaseed.org/teacher/210/talk/58771/,imaginal/soulmaking,"emotions,emotions, skill with,soulmaking: cultural views around emotions and healthy psychologies,metaphors: fire,metaphors: water, liquid,eros: access to both fire and equanimity,emotions: having the whole range of emotions,images from equanimity and eros, positive emotions and dukkha,soulmaking and dukkha,concepts/logos,emotions / mind states: anger,soulmaking: prerequisites and foundations,images: how to get images,images: how to get images - the place of stretches and challenges,breaking of the vessels (Shevirat ha-Kelim),soulmaking: challenges of teaching or explaining,images: not reducing to one meaning or causal explanation,not-self in imaginal practice vs classical anatta view,images: examples of navigating an image,noticing/inhabiting power and strength,image: inquiring into where the dynamism is",Rob Burbea,,,None,None,May 25 - June 17 2019,7082,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-29,,"Four Circles, Four Parables of Stone and Light",5,https://dl.airtable.com/.attachments/2aa5630654927131886f901c5548ede3/a9325741/2019_0529UntilAllisLiquid-EmptinessandSensingwithSoul.pdf,"""Until All is Liquid"" (Emptiness and Sensing with Soul)",https://dharmaseed.org/teacher/210/talk/58786/,"emptiness/insight,imaginal/soulmaking","soulmaking and emptiness,Middle Way of the imaginal vs emptiness Middle Way,soulmaking: spectrum of reification in imaginal practice,working with tightness/pushing for more fading in emptiness practice,emptiness/insight: liberating insight without cessation,central concepts: fabrication, ways of looking,emptiness: what is emptiness?,metaphors: water, liquid,emptiness/insight: fading, unfabricating,soulmaking: challenges of teaching or explaining,Corbin, Henry,Kabbalah,aging/sickness/death,metaphysics: ontic status / different kinds of reality of perceptions",Rob Burbea,,,None,None,May 25 - June 17 2019,6094,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-30,,"Four Circles, Four Parables of Stone and Light",6,https://dl.airtable.com/.attachments/1c495d56a23cc034264c01aea9ce8531/f6b723f2/2019_0530DaimonRefracted.pdf,"Daimon, Refracted",https://dharmaseed.org/teacher/210/talk/58766/,imaginal/soulmaking,"soulmaking: self becoming imaginal, re-enchanting self,soulmaking: allowing it to spread in all directions,guided imaginal practice,Middle Way of the imaginal vs emptiness Middle Way,soul desire to imprint / make impression on others,inner critic, imaginal practice with,inner critic arising in connection to deep longing,soulmaking and dukkha,guided practice or instructions on voice / movement,soulmaking: movement, mudras, and voice,soulmaking: hearing imaginally,images: examples of navigating an image,soulmaking: comparing and contrasting with tantra",Rob Burbea,,,None,None,May 25 - June 17 2019,7687,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-05-31,,"Four Circles, Four Parables of Stone and Light",7,https://dl.airtable.com/.attachments/283e2cf8f41deaa5c302f43c81ac2e13/4854beb9/2019_0531Dimensionality-HumilityDutyandLove.pdf,"Dimensionality, Humility, Duty, and Love",https://dharmaseed.org/teacher/210/talk/58770/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,soulmaking: purpose of teachings on aspects of the imaginal,soulmaking: aspects of the imaginal, refinements of terms,soulmaking: self becoming imaginal, re-enchanting self,images: not reducing to one meaning or causal explanation,twoness, differentiation, retaining particularities,soulmaking: dimensionality and anchoring / rooting in the divine,definitions: refraction,soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: participation,metaphysics,aging/sickness/death,prayer,soulmaking, duty in,images: love in and from images,Hartmann, Nicolai",Rob Burbea,,,None,None,May 25 - June 17 2019,6199,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-01,,"Four Circles, Four Parables of Stone and Light",8,https://dl.airtable.com/.attachments/e2dc0444992dd0bcdcf32ddd6b7b4bd4/c742bdf3/2019_0601TheInvitationofOtherness-AutonomyErosandIntentionality.pdf,"The Invitation of Otherness (Autonomy, Eros, and Intentionality)",https://dharmaseed.org/teacher/210/talk/58784/,imaginal/soulmaking,"twoness, differentiation, retaining particularities,soulmaking: aspects of the imaginal, refinements of terms,soulmaking: aspects of the imaginal,soulmaking: retaining autonomy of self and other in imaginal practice,soulmaking: form of image fading, essence remaining,soulmaking: dimensionality and anchoring / rooting in the divine,desire: conditions that shape the relationship with desire,soulmaking: sexual erotic-imaginal,fullness of intention in healing eros and sexuality,fullness of intention (not primarily in service of self),soulmaking: intention for soulmaking vs universal sacredness,soulmaking: anteros,desire/eros,sexuality/romantic relationships,authenticity",Rob Burbea,,,None,None,May 25 - June 17 2019,5525,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-02,,"Four Circles, Four Parables of Stone and Light",9,https://dl.airtable.com/.attachments/a268c0c562e239c2af5e0b36d172dc1c/afbe54b3/2019_0602LogoiandLeanings.pdf,Logoi and Leanings,https://dharmaseed.org/teacher/210/talk/58772/,imaginal/soulmaking,"soulmaking: prerequisites and foundations,concepts/logos,soulmaking: priortizing samadhi, image, or emotion,ways of looking, subtexts in,soulmaking: pacing,soulmaking: allowing it to spread in all directions,images: let the body lead, not demanding visual images,desire/eros,pothos in eros: always wanting more,eros-psyche-logos (the soulmaking dynamic),images: using the energy body to navigate,concepts/logos: importance of supportive conceptual frameworks,soulmaking: moving towards the fully imaginal,images: not reducing to one meaning or causal explanation,conceptual frameworks, flexibility with,soulmaking: telos / the angel out ahead,soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: participation,concepts/logos: possible meditations on ideas,soulmaking: shared logos and ontological commitments in dyads",Rob Burbea,,,None,None,May 25 - June 17 2019,6300,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-03,,"Four Circles, Four Parables of Stone and Light",10,https://dl.airtable.com/.attachments/0fb4c5018d1b86f07d3149c6b2b084b5/446638b3/2019_0603SoulmakingDyadPractice.pdf,Soulmaking Dyad Practice,https://dharmaseed.org/teacher/210/talk/58782/,imaginal/soulmaking,"twoness / balance of attention practices or instructions,soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: temenos tail (caring for relationship after formal practice),soulmaking: prerequisites and foundations,soulmaking: vulnerability of sharing images,emotions, skill with,soulmaking: temenos, alchemical vessel,concepts/logos,soulmaking: shared logos and ontological commitments in dyads,soulmaking and dukkha,soulmaking: threeness,sensitivity,desire/eros,sexuality/romantic relationships,soulmaking: sexual erotic-imaginal",Rob Burbea,,,None,None,May 25 - June 17 2019,9559,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-04,,"Four Circles, Four Parables of Stone and Light",11,https://dl.airtable.com/.attachments/32a3fede8c783eca8f143aeefa797d9b/4154fbae/2019_0604ThePhoenixofMetaphysicsPart1.pdf,The Phoenix of Metaphysics (Part 1),https://dharmaseed.org/teacher/210/talk/58788/,imaginal/soulmaking,"metaphysics: the personal nature of epistemology,metaphysics: opening up ontology and epistemology,metaphysics,soulmaking and emptiness,scientism / scientific materialism / reductionism,modern physics / quantum physics,metaphyics: ultimately unprovable assumptions,soulmaking, duty in,Middle Way of the imaginal,soulmaking: spectrum of reification in imaginal practice,Rorty, Richard,concepts/logos",Rob Burbea,,,None,None,May 25 - June 17 2019,9030,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-05,,"Four Circles, Four Parables of Stone and Light",12,https://dl.airtable.com/.attachments/08f81d78f91405d68b13c863ca834ade/1e71c478/2019_0605ThePhoenixofMetaphysicsPart2.pdf,The Phoenix of Metaphysics (Part 2),https://dharmaseed.org/teacher/210/talk/58789/,imaginal/soulmaking,"Middle Way of the imaginal,soulmaking: spectrum of reification in imaginal practice,metaphysics,Taylor, Charles,metaphysics: the personal nature of epistemology,metaphyics: ultimately unprovable assumptions,Middle Way of emptiness,Rorty, Richard,soulmaking: participation,emptiness/insight: doubts/concerns in or about practice,soulmaking: dimensionality and anchoring / rooting in the divine,metaphysics: opening up ontology and epistemology,modern physics / quantum physics,concepts/logos,eros for unfabricating and for soulful fabrication,antinomies in values/ethics,free will vs determinism,aging/sickness/death,soulmaking: telos / the angel out ahead",Rob Burbea,,,None,None,May 25 - June 17 2019,8132,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-06,,"Four Circles, Four Parables of Stone and Light",13,https://dl.airtable.com/.attachments/621290f070afd594627dd2802579656d/36e557fb/2019_0606DharmasDiscoveredandCreatedPart1.pdf,Dharma(s) Discovered and Created (Part 1),https://dharmaseed.org/teacher/210/talk/58767/,imaginal/soulmaking,"ideas of/relationships with tradition,fantasies of the path,metaphysics,authenticity,for future listeners,soulmaking: discernment and delineation in soulmaking,metaphysics: opening up ontology and epistemology,mindfulness, foundations of: fourth foundation",Rob Burbea,,,None,None,May 25 - June 17 2019,8685,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
2019-06-07,,"Four Circles, Four Parables of Stone and Light",14,https://dl.airtable.com/.attachments/35f753d7f2728979e90b2646130d3a66/a6944f5c/2019_0607DharmasDiscoveredandCreatedPart2.pdf,Dharma(s) Discovered and Created (Part 2),https://dharmaseed.org/teacher/210/talk/58768/,imaginal/soulmaking,"ideas of/relationships with tradition,soulmaking and emptiness,metaphysics,Abulafia,existentialist Dharma,awakening: stream-entry, stages of awakening,emptiness/insight: thorough and radical emptiness,emptiness/insight: different versions and meanings of emptiness,emptiness/insight: doubts/concerns in or about practice,critique: view of aggregates/everything as a process,emptiness/insight: emptiness of impermanence,metaphysics: the personal nature of epistemology,beauty, inquiring into,inquiring,emptiness/insight: fading, unfabricating,Dharma talk listening tips: listening structurally,views of the path,concepts/logos,metaphysics: opening up ontology and epistemology",Rob Burbea,,,None,None,May 25 - June 17 2019,4604,Talk,"The talks in this series were recorded by Rob at his home. As well as addressing and inquiring into common Dharma themes such as emptiness, ethics, Awakening, and tradition, they attempt to clarify or explore further various aspects and implications of some of the Soulmaking Dharma teachings and practices, including their bearing on some of those common Dharma themes. PLEASE NOTE: Although not all of it, much of the material presented here will only be properly comprehended when there is already some basis of preparatory experience and understanding of Soulmaking Dharma, in addition to a good working familiarity with Insight Meditation.",true,,,
